م.,القطاع الرئيسي,القطاع الفرعي,ملخص الأضرار,أهم تدخلات الإغاثة والتعافي,الإغاثة,التعافي,التنمية,الإجمالي
1,القطاع الإجتماعي,الحماية الاجتماعية,"عدد الشهداء 30960،  عدد المفقودين 7000،  عدد الأيتام 18374،  عدد النازحين 2000000،  عدد المعتقلين 3120.","كفالة أسر الشهداء والمعتقلين، كفالة الأيتام، والتغذية والنظافة للنازحين","3,797,982,400","11,024,400","23,048,800","3,832,055,600"
2,القطاع الإجتماعي,الصحة والدعم النفسي الاجتماعي,"عدد المصابين 72524،  المصابين المحولين للخارج 72524،  المنشآت الصحية المتضررة 212،  عدد مركبات الإسعاف المتضررة 167،  المرضى المتأثرين بالعدوان1520993.","علاج المصابين، إعادة إعمار المنشآت الصحية المتضررة، توفير وإصلاح مركبات الإسعاف، علاج المرضى المتأثرين بالعدوان","898,875,437","1,073,303,783","757,064,903","2,729,244,123"
3,القطاع الإجتماعي,التعليم,"عدد الجامعات المتضررة 29،  المدارس المتضررة 395،  رياض الأطفال المتضررة 372،  طلبة الجامعات 86841،  طلبة المدارس 760062. ","إعادة إعمار المنشآت التعليمية، دعم الطلبة بالمستلزمات التعليمية والرسوم لاستمرار العملية التعليمية","140,220,660","532,140,860","179,420,000","851,781,520"
4,القطاع الإجتماعي,المجتمع المدني والمؤسسات الدينية والثقافية,"المؤسسات الخيرية المتضررة 350،  الأندية الرياضية المتضررة 61،  المؤسسات الإعلامية المتضررة 251،  المساجد المتضررة 506،  الكنائس المتضررة 3،  المواقع الأثرية والثقافية المتضررة 275.",إعادة إعمار المؤسسات الخيرية والأندية الرياضية والمساجد والكنائس والمواقع الأثرية والثقافية,"1,087,500","134,690,000","38,324,000","174,101,500"
5,قطاع البنية التحتية,السكن والمأوى,"الوحدات السكنية المدمرة كلياً أو بليغ 92200،  الوحدات السكنية المدمرة جزئياً 230300.","إعادة إعمار الوحدات السكنية المدمرة كليا أو بشكل بليغ، وترميم وتأهيل الوحدات السكنية المتضررة جزئيا","2,654,173,000","5,982,780,000","2,835,000,000","11,471,953,000"
,قطاع البنية التحتية,المنشآت الحكومية والعامة,"المباني والمنشآت الحكومية المتضررة 226، المنشآت الأممية المتضررة 147.",إعادة إعمار المباني والمنشآت الحكومية والأممية,0,"86,000,000","500,000,000","586,000,000"
6,قطاع البنية التحتية,المعابر,تضررت 3 معابر.,إعادة تأهيل المعابر المتضررة,0,"19,000,000","1,300,000,000","1,319,000,000"
7,قطاع البنية التحتية,الطرق,"تضرر 1294 كم من الطرق، وتضررت 8513 مركبة.","إعادة تأهيل الطرق، وتوفير وصيانة المركبات المتضررة",0,"1,182,607,000","66,015,000","1,248,622,000"
8,قطاع البنية التحتية,الاتصالات,تضرر  415 كم من شبكات الاتصالات.,إعادة تأهيل شبكات الاتصالات,0,"4,150,000",0,"4,150,000"
9,قطاع البنية التحتية,المياه والصرف الصحي,"تضررت 1944 كم من شبكات المياه،  وتضررت 65 محطة معالجة الصرف الصحي، وتضرر 60 بئر مياه، وتضرر 185محطة تحلية مياه.",إعادة تأهيل شبكات المياه والصرف الصحي وحفر وإصلاح آبار المياه وتوفير وإصلاح محطات التحلية,0,"621,405,647","294,529,000","915,934,647"
